id,collection_alias,name,thumbnail_url,description,created_at,updated_at,image_url,priority,is_private,allowed_ip_addresses,featured,slug,custom_url,is_custom_landing_page,is_format_based,short_description,proxy_url_prefix,finding_aid_title,finding_aid_link,catalog_record_title,catalog_record_link
1,p16002coll9,Allied Posters of the World War I,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/alliedposters_dtl.jpg,"<p><span>This collection of over 1,500 World War I posters in Temple University Libraries' Special Collections Research Center was donated by George F. Tyler in 1937. The posters provide a graphic portrayal of Allied propaganda used to educate the public and enlist support for the war effort. In addition, they serve as examples of the art, design, and printing techniques of the period.</span></p>
<p><span>An <a href=""http://gamma.library.temple.edu/exhibits/exhibits/show/george-tyler-wwi-poster-exhibi"" target=""new"">exhibition</a> of a selection of the posters is accompanied by primary source material and commentary intended to provide additional context, insight, and interpretation.</span></p>
",2016-01-05 15:51:14 UTC,2016-01-05 21:09:28 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p16002coll9/images/pt160014_lnd.jpg,11,false,"",Yes,p16002coll9,"",false,false,"1,500 World War I posters in Temple University Libraries' Special Collections Research Center.",,Allied Posters of World War I,http://example.com/finding_aid/p16002coll9,Allied Posters of World War I,http://example.com/catalog_record/p16002coll9
2,cnrc,Civil Rights in a Northern City: Philadelphia,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/girard_dtl.jpg,Collection of digitized archival resources detailing the history of the modern civil rights movement in Philadelphia,2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,"",21,false,"",No,cnrc,http://northerncity.library.temple.edu/,true,false,A collection of digitized archival resources detailing the history of the modern civil rights movement in Philadelphia.,,,,,
3,p16002coll14,Franklin H. Littell Papers,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/littell_dtl.jpg,"<p>A portion of the Franklin H. Littell papers has been digitized to offer online access.</p>
<p>Franklin Littell (1917-2009), emeritus professor of religion at Temple University, led a distinguished career that spanned more than seventy years. He was a pacifist and activist, proponent of the Christian Laity and an advocate for new religious movements, an historian, political commentator and supporter of the State of Israel. He devoted ten years to work with the Protestant Churches and Laity in US occupied Germany and more than fifty years to the study and remembrance of the Holocaust and German Church Struggle. Though his activities and affiliations changed over time, he maintained strong beliefs in interfaith understanding and religious liberty his entire life.</p>
<p"">Currently, manuscripts of most of Littell's ""Speeches, lectures, and article manuscripts"" dating from 1940 to 2002 are available digitally, though more will be added. Also available are correspondence and administrative records relating to his work with the National Council of Methodist Youth from 1934 to 1944.</p>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p16002coll14/images/Littell_Landing_Pagev3.jpg,22,false,"",No,p16002coll14,"",false,false,"Most of Franklin Littell's ""Speeches, lectures, and article manuscripts"" dating from 1940 to 2002.",,Franklin H. Littell Papers,http://example.com/finding_aid/p16002coll14,Franklin H. Littell Papers,http://example.com/catalog_record/p16002coll14
4,p15037coll7,George D. McDowell Philadelphia Evening Bulletin Clippings,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/bul_clip_dtl.jpg,"<p><span>Search here for sample clippings from the <strong>George D. McDowell Philadelphia Evening Bulletin Collection </strong>digitized in 2010 - 2013.</span></p>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p15037coll7/images/Clippings_widescreen.jpg,23,false,"",Yes,p15037coll7,"",false,false,George D. McDowell Philadelphia Evening Bulletin Collection digitized in 2010 - 2013.,,George D. McDowell Philadelphia Evening Bulletin Clippings,http://example.com/finding_aid/p15037coll7,George D. McDowell Philadelphia Evening Bulletin Clippings,http://example.com/catalog_record/p15037coll7
5,stereotypicalimages,Stereotypical Images Teaching Collection,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/bertw_dtl.jpg,"    <p>This is a teaching image collection designed to provide resources for faculty and students, studying historical representations of various cultural and ethnic groups.
The collection provides examples of stereotyping based on race, religion, gender, and other characteristics that have shaped and continue to shape American society,
and some images may be offensive to some viewers. This collection is in the process of being created and eventually a large number of groups will be represented.
    </p>
    <p>
To learn more about how the collection is used for pedagogy and scholarship, please see the <a href=""/cdm/stereotypicalabout/?f[digital_collection_sim][]=Stereotypical%20Images%20Teaching%20Collection"">About Page</a>.
    </p>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/stereotypicalimages/cream_of_wheat.jpg,71,false,"",No,stereotypicalimages,"",false,false,"Teaching image collection designed to provide resources for faculty and students, studying historical representations of various cultural and ethnic groups.",,,,,
6,p15037coll1,Temple Sheet Music Collections,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/sm00244_dtl.jpg,"<p><span>This sheet music published from the early 19th to early 20th centuries, from Temple University Libraries’ collections, contains lithographed and engraved cover art. These covers show remarkable designs and document developing printing techniques throughout more than 100 years. The collections include popular dances and songs, comic tunes that reveal the ironies and anxieties of the time, and music commemorating great exhibitions and honoring heroes and stars.</span></p>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p15037coll1/images/Sheet_Music_Widescreen_Border.jpg,73,false,"",Yes,p15037coll1,"",false,false,"Sheet music published from the early 19th to early 20th centuries, from Temple University Libraries’ collections, contains lithographed and engraved cover art.",,Temple Sheet Music Collections,http://example.com/finding_aid/p15037coll1,Temple Sheet Music Collections,http://example.com/catalog_record/p15037coll1
7,p15037coll12,Temple Undergraduate Research Prize Winners,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/co_identity_dtl.jpg,"<p><span>The Library Prize for Undergraduate Research was established in 2004 to encourage the use of Library resources, to enhance the development of library research techniques, and to honor the best research projects produced each year by Temple University undergraduate students. Up to three projects are selected each year to win $1000. Winning entries exhibit: originality, depth, breadth, or sophistication in the use of library collections; exceptional ability to select, evaluate, synthesize, and utilize library resources in the creation of a project in any media; and evidence of personal growth through the acquisition of newfound knowledge.</span></p>
<p><span>Also included in this collection are the winning entries for <strong>The Library Prize for Undergraduate Research on Sustainability &amp; the Environment</strong>. Established in the 2010-2011 academic year by Temple Libraries and Gale, a leading organization in e-research and educational publishing, this prize encourage undergraduate research and projects in the area of sustainability. Up to two projects are selected each year to win $1000.</span></p>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p15037coll12/images/LibPrizelanding2013.jpg,81,false,"",No,p15037coll12,"",false,false,Winning entries of The Library Prize for Undergraduate Research.,,Temple Undergraduate Research Prize Winners,http://example.com/finding_aid/p15037coll12,Temple Undergraduate Research Prize Winners,http://example.com/catalog_record/p15037coll12
8,p16002coll8,Temple University Press E-Books,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/tu_press_dtl.jpg,"<p><span>The Temple University Press has published award-winning academic and trade press books for more than 40 years during which time the Press has become well-known nationally and internationally for the quality of its offerings in the social sciences. All Temple University Press titles are held in print in the Special Collections Research Center of the University Libraries. Most are also available for borrowing from the circulating collection of Paley Library or for purchase from the <a href=""http://www.temple.edu/tempress/"" target=""new"">University Press website</a>.</span></p>
<p><span>In 2011 the Temple University Libraries partnered with the Press to create epub and pdf versions of 165 of the Press’ backfile in order to offer these selected books in 24/7 full text searchable form. <strong>Access to this collection is restricted to current Temple faculty, staff and students for non-commercial academic use only</strong>. If you are attempting to access these titles from off-campus, you will need to authenticate to the University network.</span></p>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p16002coll8/images/TU_Press_Landing_Page_V3.jpg,83,false,"",No,p16002coll8,"",false,false,Temple University Press has published award-winning academic and trade press books.,"",Temple University Press E-Books,http://example.com/finding_aid/p16002coll8,Temple University Press E-Books,http://example.com/catalog_record/p16002coll8
9,p245801coll12,Temple University Yearbooks,http://digital.library.temple.edu/ui/custom/default/collection/default/resources/custompages/home/templar65_dtl.jpg,"<p><span>Temple University has digitized&nbsp;a majority of its yearbooks, including the <em>Templar</em>, its general yearbook, as well as books from its allied health, dental, medical, nursing, podiatry&nbsp;and pharmacy schools. Some professional schools, such as Nursing, Podiatry, and Medicine, had their own pages in the <em>Templar</em> into the 1920s before starting their own yearbooks.</span></p>
<p><span>Both the <em>Templar</em> and the medical school yearbook, <em>The Skull</em>, have enjoyed consistent publication and titling from their inception through to their present editions. Other professional school books have appeared less frequently and feature a wide array of titles. They are</span></p>
<ul>
  <li>Allied Health: <em>Plexus</em></li>
  <li>Dentistry: <em>The Dental Log</em>, <em>The Dent-Owl</em>, <em>The Dental Ray</em>, <em>The Diamond</em>, <em>The Gateway</em>, <em>The Handpiece</em>, <em>Odontolog, Impressions,</em> and <em>The Record</em></li>
  <li>Nursing: <em>Cross-Bones</em>, <em>Promethean</em>, <em>Promethian</em>, and <em>Reveille</em></li>
  <li>Podiatry: <em>Tempodian</em>, <em>Templodian</em>, and <em>Achilles</em></li>
  <li>Pharmacy: <em>The Alembic</em>, <em>Apothecan</em>, <em>Arrex</em>, <em>Asclepian</em>, <em>The Pharmacopian</em>, <em>Pharmacy</em>, <em>Secundum Artem</em> and <em>The Show Globe</em></li>
</ul>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,http://digital.library.temple.edu/ui/custom/default/collection/coll_p245801coll12/images/Yearbook_widescreen_3.jpg,91,false,"",No,p245801coll12,"",false,false,"Temple University yearbooks, including the Templar, its general yearbook, as well as books from its allied health, dental, horticulture, medical, nursing, podiatry and pharmacy schools.",,Temple University Yearbooks,http://example.com/finding_aid/p245801coll12,Temple University Yearbooks,http://example.com/catalog_record/p245801coll12
10,p16002coll1,SCRC Audio,,"<p>The SCRC Audio digital collection contains audio files from holdings in the Special Collections Research Center (SCRC). Some of the objects in this collection are better contextualized in the following featured collection(s):</p>
<ul>
  <li>
    <div class=""cdm_style"" style=""margin-top: 10px;""><a href=""http://northerncity.library.temple.edu/""> Civil Rights in a Northern City: Philadelphia</a></div>
  </li>
</ul>
",2016-01-05 15:51:14 UTC,2016-01-05 15:51:14 UTC,,112,false,"",No,p16002coll1,"",false,true,SCRC Audio digital collection contains audio files from holdings in the Special Collections Research Center.,,SCRC Audio,http://example.com/finding_aid/p16002coll1,SCRC Audio,http://example.com/catalog_record/p16002coll1
